Iteration,Loss,SSIM,Reconstructed_Label
0,4.301708698272705,0.08622459255740954,9
1,0.9988324642181396,0.18071264023626807,9
2,0.2565225660800934,0.2983658367757003,9
3,0.06966771185398102,0.4232313955969387,9
4,0.021138133481144905,0.5110999830307125,9
5,0.009930966421961784,0.5634325561925635,9
6,0.005839251913130283,0.6150877841117313,9
7,0.00346496794372797,0.6691917254578821,9
8,0.002399543998762965,0.711434180841412,9
9,0.0017392757581546903,0.7525571229476371,9
10,0.0013749809004366398,0.7823242416203066,9
11,0.0010893669677898288,0.8184501870518782,9
12,0.0009325952851213515,0.8377574853318022,9
13,0.0008266972145065665,0.8570090247009544,9
14,0.0007375053828582168,0.8710940738026736,9
15,0.0006618835031986237,0.8818728173394087,9
16,0.0006986267981119454,0.8900926005999013,9
17,0.0005689309909939766,0.8988227435558506,9
18,0.0005343225202523172,0.9091215230160828,9
19,0.0004852187121286988,0.9157582161694588,9
20,0.00045422851690091193,0.9198991416914929,9
21,0.00043306604493409395,0.9223979394221623,9
22,0.0004027484974358231,0.9298511301690834,9
23,0.0004112347960472107,0.9322990169913987,9
24,0.0003549742395989597,0.9377900290815435,9
25,0.0003408793418202549,0.9412775482739922,9
26,0.00032664171885699034,0.9444738836330775,9
27,0.0003114335413556546,0.9476124899979879,9
28,0.0002968196349684149,0.9492872231502152,9
29,0.00031113976729102433,0.951168563591658,9
30,0.00028507711249403656,0.953509622292053,9
31,0.0002662299375515431,0.9556564116001834,9
32,0.00026052934117615223,0.9566882004267012,9
33,0.00025414861738681793,0.9581888202776218,9
34,0.0002562468871474266,0.9592837218481761,9
35,0.00023754170979373157,0.960503204180115,9
36,0.00023628103372175246,0.9630807892546146,9
37,0.00023025185510050505,0.9626732199899191,9
38,0.00020809523994103074,0.9643315771186846,9
39,0.0002132625231752172,0.9647599352887396,9
40,0.00020579469855874777,0.9662907646428904,9
41,0.00020127657626289874,0.9671138537794175,9
42,0.0001972165919141844,0.9677421647680582,9
43,0.00018785014981403947,0.9687753761043916,9
44,0.0001849104737630114,0.9699874657410137,9
45,0.0001988957665162161,0.9707467587741875,9
46,0.00018785295833367854,0.9709359738071994,9
47,0.00017448792641516775,0.9721853782439372,9
48,0.000164269091328606,0.9725097098205921,9
49,0.00015784749120939523,0.9736966350110325,9
50,0.00016959199274424464,0.9741688501640889,9
51,0.00016287033213302493,0.9742064323915532,9
52,0.00020817987387999892,0.9727372208819587,9
53,0.00015006077592261136,0.9758695944614665,9
54,0.00017429895524401218,0.9758782524769828,9
55,0.0001466955291107297,0.9763990826684342,9
56,0.00017898355145007372,0.9768642968327336,9
57,0.00017245598428416997,0.9774277987476636,9
58,0.00014273793203756213,0.9778356672479556,9
59,0.0001450710406061262,0.9784792094276502,9
60,0.00013966696860734373,0.9791013232085126,9
61,0.00013924318773206323,0.9797662954182315,9
62,0.00015146633086260408,0.9784466211612408,9
63,0.0001413744903402403,0.9803422176273617,9
64,0.00012700587103608996,0.9809109550961376,9
65,0.00012933438119944185,0.9813200942069821,9
66,0.00014104717411100864,0.9812673973084907,9
67,0.00013021733320783824,0.9820976183259276,9
68,0.00014393781020771712,0.9836125284786055,9
69,0.00016722902364563197,0.9824623619839989,9
70,0.0001194512442452833,0.9830881103256045,9
71,0.00012133158452343196,0.98335229265972,9
72,0.00011597989941947162,0.9835820207758063,9
73,0.0001345162745565176,0.9847187706704675,9
74,0.00011309278488624841,0.9840442775445577,9
75,0.00012262543896213174,0.9841614189232595,9
76,0.0001388929522363469,0.9854213306184351,9
77,0.00010435628064442426,0.9846034183128346,9
78,0.0001136524006142281,0.9848352761487283,9
79,0.0001241568970726803,0.984902855559919,9
80,0.00010971111623803154,0.9854197786933572,9
81,0.0001162462867796421,0.9857727769740234,9
82,0.00012211852299515158,0.9854771493983692,9
83,0.0002006541471928358,0.9857909963328457,9
84,0.00010679369006538764,0.9859534166091998,9
85,0.00011016783537343144,0.9864205971977414,9
86,0.00011175737017765641,0.9859528650898906,9
87,0.00011453945626271889,0.9860434402551876,9
88,0.00014341488713398576,0.9857241450505849,9
89,9.902780584525317e-05,0.9865656097436092,9
90,0.00011034135241061449,0.9865185330958056,9
91,0.00011394092143746093,0.9871271170631668,9
92,0.00010744441533461213,0.9862418767263198,9
93,0.00011254884157096967,0.9868650517520114,9
94,0.00010261251009069383,0.9871324322809129,9
95,0.00011644457117654383,0.9869269125560332,9
96,0.00011200532753719017,0.9876267155246622,9
97,0.00013180982205085456,0.987314900438461,9
98,9.962244803318754e-05,0.987839366380985,9
99,9.69275351963006e-05,0.9878904170538547,9
100,0.00011192010424565524,0.988323535792221,9
101,9.674527973402292e-05,0.9879684666910115,9
102,9.699615475255996e-05,0.9880411050023412,9
103,8.991233335109428e-05,0.9882525655292195,9
104,0.00010375720739830285,0.9884591677485133,9
105,0.0001427538663847372,0.9886196834095836,9
106,9.143204806605354e-05,0.9886096642743907,9
107,9.112677798839286e-05,0.9886760121795553,9
108,0.0001400358887622133,0.9889746702458027,9
109,8.765140228206292e-05,0.9888707780273709,9
110,0.00010479294724063948,0.9890293976258949,9
111,0.00011015639029210433,0.9889826040119815,9
112,9.271719318348914e-05,0.9892768264698559,9
113,0.00011303979408694431,0.9893740532842613,9
114,8.969941700343043e-05,0.9894865703653302,9
115,9.580206096870825e-05,0.9894781475060085,9
116,9.542900806991383e-05,0.9896958660797255,9
117,9.336136281490326e-05,0.9897900059731048,9
