Iteration,Loss,SSIM,Reconstructed_Label
89,16494789.0,3.318431884173407e-11,1
90,16494786.0,3.256789149260564e-11,1
91,16494787.0,3.150177821196528e-11,1
92,16494791.0,3.0899651789706924e-11,1
93,16494791.0,3.0929465078499464e-11,1
94,16494797.0,3.0899784935782676e-11,1
95,16494791.0,2.97167936206714e-11,1
96,16494787.0,2.9204384302075436e-11,1
97,16494785.0,2.825208025973448e-11,1
98,16494784.0,2.7188593751328048e-11,1
99,16494785.0,2.6690679302449232e-11,1
100,16494781.0,2.6456984717492304e-11,1
101,16494785.0,2.5535984560374742e-11,1
102,16494787.0,2.498688637132264e-11,1
103,16494787.0,2.325237319569659e-11,1
104,16494787.0,2.3549423439485824e-11,1
105,16494785.0,2.3050396635010365e-11,1
106,16494783.0,2.2998367843677992e-11,1
107,16494783.0,2.3264631408441857e-11,1
108,16494784.0,2.2232961583424755e-11,1
109,16494787.0,2.10452311818885e-11,1
110,16494794.0,1.9883940402018198e-11,1
111,16494787.0,2.041005491710885e-11,1
112,16494784.0,1.9721640088115994e-11,1
113,16494787.0,1.9646798776998678e-11,1
114,16494785.0,1.9626996862337012e-11,1
115,16494787.0,1.9632839621772934e-11,1
116,16494783.0,1.8854145961655106e-11,1
117,16494785.0,1.87378622378326e-11,1
118,16494785.0,1.8506981373141466e-11,1
119,16494781.0,1.8256059546666522e-11,1
120,16494783.0,1.7881466333576625e-11,1
121,16494780.0,1.772360594565564e-11,1
122,16494781.0,1.7710557532191884e-11,1
123,16494785.0,1.7637910486434295e-11,1
124,16494781.0,1.762710925112152e-11,1
125,16494781.0,1.7485259450601432e-11,1
126,16494780.0,1.791490548040057e-11,1
127,16494785.0,1.7804904475508135e-11,1
128,16494782.0,1.7626720040398543e-11,1
129,16494785.0,1.7330788189373843e-11,1
130,16494785.0,1.7246206812953868e-11,1
131,16494779.0,1.679186916551861e-11,1
132,16494781.0,1.6478023311937018e-11,1
133,16494787.0,1.646624892012584e-11,1
134,16494787.0,1.687882100797291e-11,1
135,16494781.0,1.6046150979228315e-11,1
136,16494785.0,1.590864504106074e-11,1
137,16494780.0,1.6044889998020724e-11,1
138,16494777.0,1.5851821298946537e-11,1
139,16494781.0,1.560595798003864e-11,1
140,16494781.0,1.539779662763225e-11,1
141,16494790.0,1.5042686979355608e-11,1
142,16494790.0,1.5132460230692006e-11,1
143,16494783.0,1.515364424655289e-11,1
144,16494783.0,1.509495899501772e-11,1
145,16494783.0,1.452964824766805e-11,1
146,16494787.0,1.4618153277569764e-11,1
147,16494781.0,1.4404814163048188e-11,1
148,16494784.0,1.4334907410932702e-11,1
149,16494789.0,1.4114155423610029e-11,1
150,16494785.0,1.4154060787246396e-11,1
151,16494783.0,1.4288437375269653e-11,1
152,16494781.0,1.3775739625852229e-11,1
153,16664414.0,1.6868771859231164e-16,5
154,16664414.0,1.6868771859231164e-16,5
155,16664414.0,1.6868771859231164e-16,5
156,16664414.0,1.6868771859231164e-16,5
157,16664414.0,1.6868771859231164e-16,5
158,16664414.0,1.6868771859231164e-16,5
159,16664414.0,1.6868771859231164e-16,5
160,16664414.0,1.6868771859231164e-16,5
161,16664414.0,1.6868771859231164e-16,5
162,16664414.0,1.6868771859231164e-16,5
163,16664414.0,1.6868771859231164e-16,5
164,16664414.0,1.6868771859231164e-16,5
165,16664414.0,1.6868771859231164e-16,5
166,16664414.0,1.6868771859231164e-16,5
167,16664414.0,1.6868771859231164e-16,5
168,16664414.0,1.6868771859231164e-16,5
169,16664414.0,1.6868771859231164e-16,5
170,16664414.0,1.6868771859231164e-16,5
171,16664414.0,1.6868771859231164e-16,5
172,16664414.0,1.6868771859231164e-16,5
173,16664414.0,1.6868771859231164e-16,5
174,16664414.0,1.6868771859231164e-16,5
175,16664414.0,1.6868771859231164e-16,5
176,16664414.0,1.6868771859231164e-16,5
177,16664414.0,1.6868771859231164e-16,5
178,16664414.0,1.6868771859231164e-16,5
179,16664414.0,1.6868771859231164e-16,5
180,16664414.0,1.6868771859231164e-16,5
181,16664414.0,1.6868771859231164e-16,5
182,16664414.0,1.6868771859231164e-16,5
183,16664414.0,1.6868771859231164e-16,5
184,16664414.0,1.6868771859231164e-16,5
185,16664414.0,1.6868771859231164e-16,5
186,16664414.0,1.6868771859231164e-16,5
187,16664414.0,1.6868771859231164e-16,5
188,16664414.0,1.6868771859231164e-16,5
189,16664414.0,1.6868771859231164e-16,5
190,16664414.0,1.6868771859231164e-16,5
191,16664414.0,1.6868771859231164e-16,5
192,16664414.0,1.6868771859231164e-16,5
193,16664414.0,1.6868771859231164e-16,5
194,16664414.0,1.6868771859231164e-16,5
195,16664414.0,1.6868771859231164e-16,5
196,16664414.0,1.6868771859231164e-16,5
197,16664414.0,1.6868771859231164e-16,5
198,16664414.0,1.6868771859231164e-16,5
199,16664414.0,1.6868771859231164e-16,5
