Iteration,Loss,SSIM,Reconstructed_Label
0,4.313894271850586,0.08594856860283082,9
1,1.0348836183547974,0.1802082262805785,9
2,0.2750544548034668,0.28895579488687284,9
3,0.07125198841094971,0.4223039085037115,9
4,0.021984364837408066,0.5098629090672799,9
5,0.010582372546195984,0.5575428079364589,9
6,0.006327771581709385,0.6021740398867078,9
7,0.0039282022044062614,0.6538115630515978,9
8,0.002567674033343792,0.703116335980484,9
9,0.0018580014584586024,0.7403577326372619,9
10,0.0014138573314994574,0.7835986561737073,9
11,0.0011027473956346512,0.8128393465686127,9
12,0.0009739410015754402,0.8327048304821392,9
13,0.0008697950979694724,0.8521225295338185,9
14,0.000759828370064497,0.8674538744304924,9
15,0.0006764740101061761,0.8830953695971144,9
16,0.0005948342732153833,0.8932209184404308,9
17,0.0005382714443840086,0.9035901154319828,9
18,0.0005157949053682387,0.9137527153017164,9
19,0.0004724442260339856,0.9201530576545811,9
20,0.0004372206749394536,0.9240001111605464,9
21,0.00043444818584248424,0.9306009006658955,9
22,0.0003797632525674999,0.9337384021405638,9
23,0.0003516128344926983,0.9387886960434138,9
24,0.0003280848904978484,0.9413763717941103,9
25,0.0003185941022820771,0.9443465736777296,9
26,0.00031182379461824894,0.9464228320095314,9
27,0.000294475321425125,0.9479451014511507,9
28,0.0002883251290768385,0.9506885377172183,9
29,0.0002877911610994488,0.9515522020102958,9
30,0.00027351081371307373,0.9541809319700363,9
31,0.00027460214914754033,0.9555380814791431,9
32,0.0002684424689505249,0.9571288487923568,9
33,0.0002375928161200136,0.9590694677062641,9
34,0.00023639656137675047,0.9602074685269559,9
35,0.0002449834137223661,0.9623963056495909,9
36,0.00021961986203677952,0.9630089601248326,9
37,0.00021390987967606634,0.9639778531779198,9
38,0.0002142922458006069,0.9657182329328808,9
39,0.0010932260192930698,0.9515467757833075,9
40,0.000290191441308707,0.9668898664458969,9
41,0.00019751106447074562,0.9676887204749345,9
42,0.00019365907064639032,0.9684754980827225,9
43,0.00019082092330791056,0.9692012651784886,9
44,0.0001876919122878462,0.9697023143870591,9
